date,total
2012-02-02,682
2012-02-03,706
2012-02-04,4
2012-02-05,2
2012-02-06,687
2012-02-07,615
2012-02-08,657
2012-02-09,426
2012-02-10,899
2012-02-11,1
2012-02-13,625
2012-02-14,653
2012-02-15,631
2012-02-16,750
2012-02-17,714
2012-02-18,9
2012-02-19,1
2012-02-20,658
2012-02-21,572
2012-02-22,751
2012-02-23,795
2012-02-24,743
2012-02-27,999
2012-02-28,1065
2012-02-29,1254
2012-03-01,700
2012-03-02,626
2012-03-03,1
2012-03-04,2
2012-03-05,630
2012-03-06,755
2012-03-07,898
2012-03-08,721
2012-03-09,720
2012-03-10,3
2012-03-11,1
2012-03-12,574
2012-03-13,1020
2012-03-14,1084
2012-03-15,970
2012-03-16,666
2012-03-17,6
2012-03-18,3
2012-03-19,809
2012-03-20,726
2012-03-21,798
2012-03-22,863
2012-03-23,659
2012-03-24,1
2012-03-26,945
2012-03-27,1186
2012-03-28,1188
2012-03-29,1227
2012-03-30,1139
2012-03-31,57
2012-04-02,909
2012-04-03,816
2012-04-04,957
2012-04-05,735
2012-04-07,1
2012-04-08,1
2012-04-09,147
2012-04-10,676
2012-04-11,622
2012-04-12,815
2012-04-13,708
2012-04-14,3
2012-04-15,2
2012-04-16,758
2012-04-17,688
2012-04-18,512
2012-04-19,659
2012-04-20,872
2012-04-21,69
2012-04-22,13
2012-04-23,637
2012-04-24,786
2012-04-25,1262
2012-04-26,1048
2012-04-27,1292
2012-04-28,53
2012-04-29,87
2012-04-30,951
2012-05-01,2
2012-05-02,800
2012-05-03,755
2012-05-04,820
2012-05-05,15
2012-05-07,345
2012-05-08,5
2012-05-09,788
2012-05-10,749
2012-05-11,592
2012-05-13,8
2012-05-14,850
2012-05-15,665
2012-05-16,481
2012-05-17,528
2012-05-18,539
2012-05-19,4
2012-05-21,689
2012-05-22,703
2012-05-23,661
2012-05-24,569
2012-05-25,655
2012-05-27,37
2012-05-28,841
2012-05-29,947
2012-05-30,1097
2012-05-31,1125
2012-06-01,533
2012-06-02,4
2012-06-03,3
2012-06-04,488
2012-06-05,509
2012-06-06,480
2012-06-07,445
2012-06-08,558
2012-06-09,2
2012-06-10,7
2012-06-11,460
2012-06-12,551
2012-06-13,503
2012-06-14,500
2012-06-15,389
2012-06-16,8
2012-06-18,482
2012-06-19,595
2012-06-20,506
2012-06-21,642
2012-06-22,449
2012-06-23,1
2012-06-25,500
2012-06-26,687
2012-06-27,664
2012-06-28,874
2012-06-29,1087
2012-06-30,7
2012-07-01,20
2012-07-02,532
2012-07-03,629
2012-07-04,527
2012-07-05,22
2012-07-06,263
2012-07-08,1
2012-07-09,539
2012-07-10,512
2012-07-11,564
2012-07-12,431
2012-07-13,417
2012-07-14,3
2012-07-15,25
2012-07-16,377
2012-07-17,431
2012-07-18,446
2012-07-19,329
2012-07-20,468
2012-07-21,2
2012-07-22,13
2012-07-23,492
2012-07-24,393
2012-07-25,591
2012-07-26,469
2012-07-27,568
2012-07-30,608
2012-07-31,745
2012-08-01,508
2012-08-02,399
2012-08-03,379
2012-08-04,1
2012-08-05,8
2012-08-06,500
2012-08-07,555
2012-08-08,404
2012-08-09,373
2012-08-10,322
2012-08-11,464
2012-08-12,22
2012-08-13,367
2012-08-14,390
2012-08-15,356
2012-08-16,380
2012-08-17,480
2012-08-18,3
2012-08-19,1
2012-08-20,359
2012-08-21,388
2012-08-22,351
2012-08-23,498
2012-08-24,381
2012-08-25,2
2012-08-27,566
2012-08-28,742
2012-08-29,6
2012-08-30,562
2012-08-31,835
